CAEN Rev.2  (activitati ale economiei nationale), Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Lei  lei RON (incepand cu 2005), Valoare
TOTAL, Total, Teleorman, Anul 2008, Lei, 1100
TOTAL, Total, Teleorman, Anul 2009, Lei, 1122
TOTAL, Total, Teleorman, Anul 2010, Lei, 1124
TOTAL, Total, Teleorman, Anul 2011, Lei, 1139
TOTAL, Total, Teleorman, Anul 2012, Lei, 1168
TOTAL, Total, Teleorman, Anul 2013, Lei, 1236
TOTAL, Total, Teleorman, Anul 2014, Lei, 1320
TOTAL, Total, Teleorman, Anul 2015, Lei, 1415
TOTAL, Total, Teleorman, Anul 2016, Lei, 1591
TOTAL, Total, Teleorman, Anul 2017, Lei, 1872
TOTAL, Total, Regiunea BUCURESTI - ILFOV, Anul 2008, Lei, 1810
TOTAL, Total, Regiunea BUCURESTI - ILFOV, Anul 2009, Lei, 1817
TOTAL, Total, Regiunea BUCURESTI - ILFOV, Anul 2010, Lei, 1946
TOTAL, Total, Regiunea BUCURESTI - ILFOV, Anul 2011, Lei, 2086
TOTAL, Total, Regiunea BUCURESTI - ILFOV, Anul 2012, Lei, 2187
TOTAL, Total, Regiunea BUCURESTI - ILFOV, Anul 2013, Lei, 2265
TOTAL, Total, Regiunea BUCURESTI - ILFOV, Anul 2014, Lei, 2400
TOTAL, Total, Regiunea BUCURESTI - ILFOV, Anul 2015, Lei, 2645
TOTAL, Total, Regiunea BUCURESTI - ILFOV, Anul 2016, Lei, 2856
TOTAL, Total, Regiunea BUCURESTI - ILFOV, Anul 2017, Lei, 3186
TOTAL, Total, Ilfov, Anul 2008, Lei, 1560
TOTAL, Total, Ilfov, Anul 2009, Lei, 1697
TOTAL, Total, Ilfov, Anul 2010, Lei, 1717
TOTAL, Total, Ilfov, Anul 2011, Lei, 1862
TOTAL, Total, Ilfov, Anul 2012, Lei, 1994
TOTAL, Total, Ilfov, Anul 2013, Lei, 1960
TOTAL, Total, Ilfov, Anul 2014, Lei, 2087
TOTAL, Total, Ilfov, Anul 2015, Lei, 2267
TOTAL, Total, Ilfov, Anul 2016, Lei, 2380
TOTAL, Total, Ilfov, Anul 2017, Lei, 2610
TOTAL, Total, Municipiul Bucuresti, Anul 2008, Lei, 1838
TOTAL, Total, Municipiul Bucuresti, Anul 2009, Lei, 1831
TOTAL, Total, Municipiul Bucuresti, Anul 2010, Lei, 1973
TOTAL, Total, Municipiul Bucuresti, Anul 2011, Lei, 2114
TOTAL, Total, Municipiul Bucuresti, Anul 2012, Lei, 2213
TOTAL, Total, Municipiul Bucuresti, Anul 2013, Lei, 2304
TOTAL, Total, Municipiul Bucuresti, Anul 2014, Lei, 2441
