Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
MACROREGIUNEA DOI, Anul 2015, Numar, 1907
MACROREGIUNEA DOI, Anul 2016, Numar, 1905
MACROREGIUNEA DOI, Anul 2017, Numar, 1720
Regiunea NORD-EST, Anul 1992, Numar, 822
Regiunea NORD-EST, Anul 1993, Numar, 1128
Regiunea NORD-EST, Anul 1994, Numar, 1166
Regiunea NORD-EST, Anul 1995, Numar, 1147
Regiunea NORD-EST, Anul 1996, Numar, 995
Regiunea NORD-EST, Anul 1997, Numar, 998
Regiunea NORD-EST, Anul 1998, Numar, 733
Regiunea NORD-EST, Anul 1999, Numar, 762
Regiunea NORD-EST, Anul 2000, Numar, 975
Regiunea NORD-EST, Anul 2001, Numar, 620
Regiunea NORD-EST, Anul 2002, Numar, 497
Regiunea NORD-EST, Anul 2003, Numar, 519
Regiunea NORD-EST, Anul 2004, Numar, 626
Regiunea NORD-EST, Anul 2005, Numar, 400
Regiunea NORD-EST, Anul 2006, Numar, 434
Regiunea NORD-EST, Anul 2007, Numar, 467
Regiunea NORD-EST, Anul 2008, Numar, 763
Regiunea NORD-EST, Anul 2009, Numar, 840
Regiunea NORD-EST, Anul 2010, Numar, 822
Regiunea NORD-EST, Anul 2011, Numar, 863
Regiunea NORD-EST, Anul 2012, Numar, 890
Regiunea NORD-EST, Anul 2013, Numar, 907
Regiunea NORD-EST, Anul 2014, Numar, 952
Regiunea NORD-EST, Anul 2015, Numar, 987
Regiunea NORD-EST, Anul 2016, Numar, 1035
Regiunea NORD-EST, Anul 2017, Numar, 841
Bacau, Anul 1992, Numar, 78
Bacau, Anul 1993, Numar, 271
Bacau, Anul 1994, Numar, 247
Bacau, Anul 1995, Numar, 242
Bacau, Anul 1996, Numar, 223
Bacau, Anul 1997, Numar, 225
Bacau, Anul 1998, Numar, 178
Bacau, Anul 1999, Numar, 171
Bacau, Anul 2000, Numar, 151
Bacau, Anul 2001, Numar, 114
Bacau, Anul 2002, Numar, 108
Bacau, Anul 2003, Numar, 109
Bacau, Anul 2004, Numar, 116
Bacau, Anul 2005, Numar, 78
Bacau, Anul 2006, Numar, 79
Bacau, Anul 2007, Numar, 84
Bacau, Anul 2008, Numar, 133
Bacau, Anul 2009, Numar, 142
Bacau, Anul 2010, Numar, 131
Bacau, Anul 2011, Numar, 154
Bacau, Anul 2012, Numar, 160
Bacau, Anul 2013, Numar, 161
Bacau, Anul 2014, Numar, 155
Bacau, Anul 2015, Numar, 183
Bacau, Anul 2016, Numar, 190
Bacau, Anul 2017, Numar, 156
Botosani, Anul 1992, Numar, 293
Botosani, Anul 1993, Numar, 99
Botosani, Anul 1994, Numar, 121
Botosani, Anul 1995, Numar, 126
Botosani, Anul 1996, Numar, 120
Botosani, Anul 1997, Numar, 121
Botosani, Anul 1998, Numar, 79
Botosani, Anul 1999, Numar, 86
Botosani, Anul 2000, Numar, 114
Botosani, Anul 2001, Numar, 91
Botosani, Anul 2002, Numar, 57
Botosani, Anul 2003, Numar, 61
Botosani, Anul 2004, Numar, 81
Botosani, Anul 2005, Numar, 38
Botosani, Anul 2006, Numar, 50
Botosani, Anul 2007, Numar, 45
Botosani, Anul 2008, Numar, 98
Botosani, Anul 2009, Numar, 109
Botosani, Anul 2010, Numar, 100
Botosani, Anul 2011, Numar, 103
Botosani, Anul 2012, Numar, 108
Botosani, Anul 2013, Numar, 110
Botosani, Anul 2014, Numar, 102
Botosani, Anul 2015, Numar, 113
Botosani, Anul 2016, Numar, 111
Botosani, Anul 2017, Numar, 96
Iasi, Anul 1992, Numar, 114
Iasi, Anul 1993, Numar, 230
Iasi, Anul 1994, Numar, 257
Iasi, Anul 1995, Numar, 239
Iasi, Anul 1996, Numar, 196
Iasi, Anul 1997, Numar, 196
Iasi, Anul 1998, Numar, 161
Iasi, Anul 1999, Numar, 171
Iasi, Anul 2000, Numar, 237
Iasi, Anul 2001, Numar, 176
Iasi, Anul 2002, Numar, 108
Iasi, Anul 2003, Numar, 123
Iasi, Anul 2004, Numar, 158
Iasi, Anul 2005, Numar, 104
Iasi, Anul 2006, Numar, 115
Iasi, Anul 2007, Numar, 125
Iasi, Anul 2008, Numar, 204
Iasi, Anul 2009, Numar, 229
Iasi, Anul 2010, Numar, 226
Iasi, Anul 2011, Numar, 246
Iasi, Anul 2012, Numar, 253
Iasi, Anul 2013, Numar, 262
Iasi, Anul 2014, Numar, 336
Iasi, Anul 2015, Numar, 283
Iasi, Anul 2016, Numar, 321
Iasi, Anul 2017, Numar, 225
Neamt, Anul 1992, Numar, 19
Neamt, Anul 1993, Numar, 141
Neamt, Anul 1994, Numar, 165
Neamt, Anul 1995, Numar, 151
Neamt, Anul 1996, Numar, 111
Neamt, Anul 1997, Numar, 111
Neamt, Anul 1998, Numar, 91
Neamt, Anul 1999, Numar, 96
Neamt, Anul 2000, Numar, 134
Neamt, Anul 2001, Numar, 73
Neamt, Anul 2002, Numar, 65
Neamt, Anul 2003, Numar, 69
Neamt, Anul 2004, Numar, 90
Neamt, Anul 2005, Numar, 71
Neamt, Anul 2006, Numar, 73
Neamt, Anul 2007, Numar, 81
Neamt, Anul 2008, Numar, 115
Neamt, Anul 2009, Numar, 115
Neamt, Anul 2010, Numar, 106
Neamt, Anul 2011, Numar, 111
Neamt, Anul 2012, Numar, 113
Neamt, Anul 2013, Numar, 114
Neamt, Anul 2014, Numar, 110
Neamt, Anul 2015, Numar, 122
Neamt, Anul 2016, Numar, 135
Neamt, Anul 2017, Numar, 108
Suceava, Anul 1992, Numar, 278
Suceava, Anul 1993, Numar, 241
Suceava, Anul 1994, Numar, 261
Suceava, Anul 1995, Numar, 281
Suceava, Anul 1996, Numar, 234
Suceava, Anul 1997, Numar, 234
Suceava, Anul 1998, Numar, 149
Suceava, Anul 1999, Numar, 155
Suceava, Anul 2000, Numar, 227
Suceava, Anul 2001, Numar, 111
Suceava, Anul 2002, Numar, 98
Suceava, Anul 2003, Numar, 99
Suceava, Anul 2004, Numar, 127
Suceava, Anul 2005, Numar, 84
Suceava, Anul 2006, Numar, 89
Suceava, Anul 2007, Numar, 102
Suceava, Anul 2008, Numar, 174
Suceava, Anul 2009, Numar, 195
Suceava, Anul 2010, Numar, 185
Suceava, Anul 2011, Numar, 172
Suceava, Anul 2012, Numar, 174
Suceava, Anul 2013, Numar, 175
Suceava, Anul 2014, Numar, 153
Suceava, Anul 2015, Numar, 190
Suceava, Anul 2016, Numar, 167
Suceava, Anul 2017, Numar, 161
Vaslui, Anul 1992, Numar, 40
Vaslui, Anul 1993, Numar, 146
Vaslui, Anul 1994, Numar, 115
Vaslui, Anul 1995, Numar, 108
Vaslui, Anul 1996, Numar, 111
Vaslui, Anul 1997, Numar, 111
Vaslui, Anul 1998, Numar, 75
Vaslui, Anul 1999, Numar, 83
Vaslui, Anul 2000, Numar, 112
Vaslui, Anul 2001, Numar, 55
Vaslui, Anul 2002, Numar, 61
Vaslui, Anul 2003, Numar, 58
Vaslui, Anul 2004, Numar, 54
Vaslui, Anul 2005, Numar, 25
Vaslui, Anul 2006, Numar, 28
Vaslui, Anul 2007, Numar, 30
Vaslui, Anul 2008, Numar, 39
Vaslui, Anul 2009, Numar, 50
Vaslui, Anul 2010, Numar, 74
Vaslui, Anul 2011, Numar, 77
Vaslui, Anul 2012, Numar, 82
Vaslui, Anul 2013, Numar, 85
Vaslui, Anul 2014, Numar, 96
Vaslui, Anul 2015, Numar, 96
Vaslui, Anul 2016, Numar, 111
Vaslui, Anul 2017, Numar, 95
Regiunea SUD-EST, Anul 1992, Numar, 1292
Regiunea SUD-EST, Anul 1993, Numar, 1148
Regiunea SUD-EST, Anul 1994, Numar, 1034
Regiunea SUD-EST, Anul 1995, Numar, 958
Regiunea SUD-EST, Anul 1996, Numar, 835
Regiunea SUD-EST, Anul 1997, Numar, 843
Regiunea SUD-EST, Anul 1998, Numar, 736
Regiunea SUD-EST, Anul 1999, Numar, 742
Regiunea SUD-EST, Anul 2000, Numar, 958
Regiunea SUD-EST, Anul 2001, Numar, 595
Regiunea SUD-EST, Anul 2002, Numar, 587
Regiunea SUD-EST, Anul 2003, Numar, 532
Regiunea SUD-EST, Anul 2004, Numar, 700
Regiunea SUD-EST, Anul 2005, Numar, 423
Regiunea SUD-EST, Anul 2006, Numar, 454
Regiunea SUD-EST, Anul 2007, Numar, 478
Regiunea SUD-EST, Anul 2008, Numar, 755
Regiunea SUD-EST, Anul 2009, Numar, 811
Regiunea SUD-EST, Anul 2010, Numar, 786
Regiunea SUD-EST, Anul 2011, Numar, 828
