Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Botosani, Anul 2010, Numar, 11
Botosani, Anul 2011, Numar, 12
Botosani, Anul 2012, Numar, 10
Botosani, Anul 2013, Numar, 10
Botosani, Anul 2014, Numar, 10
Botosani, Anul 2015, Numar, 10
Botosani, Anul 2016, Numar, 10
Botosani, Anul 2017, Numar, 9
Iasi, Anul 1990, Numar, 10
Iasi, Anul 1991, Numar, 10
Iasi, Anul 1992, Numar, 13
Iasi, Anul 1993, Numar, 13
Iasi, Anul 1994, Numar, 13
Iasi, Anul 1995, Numar, 13
Iasi, Anul 1996, Numar, 24
Iasi, Anul 1997, Numar, 24
Iasi, Anul 1998, Numar, 24
Iasi, Anul 1999, Numar, 24
Iasi, Anul 2000, Numar, 24
Iasi, Anul 2001, Numar, 24
Iasi, Anul 2002, Numar, 24
Iasi, Anul 2003, Numar, 24
Iasi, Anul 2004, Numar, 24
Iasi, Anul 2005, Numar, 24
Iasi, Anul 2006, Numar, 24
Iasi, Anul 2007, Numar, 27
Iasi, Anul 2008, Numar, 27
Iasi, Anul 2009, Numar, 27
Iasi, Anul 2010, Numar, 26
Iasi, Anul 2011, Numar, 26
Iasi, Anul 2012, Numar, 21
Iasi, Anul 2013, Numar, 20
Iasi, Anul 2014, Numar, 22
Iasi, Anul 2015, Numar, 24
Iasi, Anul 2016, Numar, 25
Iasi, Anul 2017, Numar, 24
Neamt, Anul 1990, Numar, 24
Neamt, Anul 1991, Numar, 24
Neamt, Anul 1992, Numar, 24
Neamt, Anul 1993, Numar, 24
Neamt, Anul 1994, Numar, 24
Neamt, Anul 1995, Numar, 24
Neamt, Anul 1996, Numar, 24
Neamt, Anul 1997, Numar, 23
Neamt, Anul 1998, Numar, 25
Neamt, Anul 1999, Numar, 26
Neamt, Anul 2000, Numar, 26
Neamt, Anul 2001, Numar, 26
Neamt, Anul 2002, Numar, 26
Neamt, Anul 2003, Numar, 26
Neamt, Anul 2004, Numar, 26
Neamt, Anul 2005, Numar, 30
Neamt, Anul 2006, Numar, 28
Neamt, Anul 2007, Numar, 28
Neamt, Anul 2008, Numar, 28
Neamt, Anul 2009, Numar, 28
Neamt, Anul 2010, Numar, 28
Neamt, Anul 2011, Numar, 29
Neamt, Anul 2012, Numar, 28
Neamt, Anul 2013, Numar, 29
Neamt, Anul 2014, Numar, 29
Neamt, Anul 2015, Numar, 30
Neamt, Anul 2016, Numar, 29
Neamt, Anul 2017, Numar, 29
Suceava, Anul 1990, Numar, 23
Suceava, Anul 1991, Numar, 22
Suceava, Anul 1992, Numar, 22
Suceava, Anul 1993, Numar, 23
Suceava, Anul 1994, Numar, 23
Suceava, Anul 1995, Numar, 23
Suceava, Anul 1996, Numar, 17
Suceava, Anul 1997, Numar, 28
Suceava, Anul 1998, Numar, 27
Suceava, Anul 1999, Numar, 26
Suceava, Anul 2000, Numar, 27
Suceava, Anul 2001, Numar, 26
Suceava, Anul 2002, Numar, 30
Suceava, Anul 2003, Numar, 30
Suceava, Anul 2004, Numar, 30
Suceava, Anul 2005, Numar, 30
Suceava, Anul 2006, Numar, 30
Suceava, Anul 2007, Numar, 31
Suceava, Anul 2008, Numar, 29
Suceava, Anul 2009, Numar, 30
Suceava, Anul 2010, Numar, 30
Suceava, Anul 2011, Numar, 30
Suceava, Anul 2012, Numar, 30
Suceava, Anul 2013, Numar, 30
Suceava, Anul 2014, Numar, 30
Suceava, Anul 2015, Numar, 28
Suceava, Anul 2016, Numar, 29
Suceava, Anul 2017, Numar, 29
Vaslui, Anul 1990, Numar, 6
Vaslui, Anul 1991, Numar, 6
Vaslui, Anul 1992, Numar, 6
Vaslui, Anul 1993, Numar, 6
Vaslui, Anul 1994, Numar, 6
Vaslui, Anul 1995, Numar, 6
Vaslui, Anul 1996, Numar, 6
Vaslui, Anul 1997, Numar, 5
Vaslui, Anul 1998, Numar, 5
