Forme de proprietate, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Total, Bacau, Anul 2007, Numar, 8
Total, Bacau, Anul 2008, Numar, 9
Total, Bacau, Anul 2009, Numar, 9
Total, Bacau, Anul 2010, Numar, 9
Total, Bacau, Anul 2011, Numar, 9
Total, Bacau, Anul 2012, Numar, 8
Total, Bacau, Anul 2013, Numar, 7
Total, Bacau, Anul 2014, Numar, 7
Total, Bacau, Anul 2015, Numar, 6
Total, Bacau, Anul 2016, Numar, 6
Total, Bacau, Anul 2017, Numar, 6
Total, Botosani, Anul 1998, Numar, 1
Total, Botosani, Anul 1999, Numar, 3
Total, Botosani, Anul 2000, Numar, 5
Total, Botosani, Anul 2001, Numar, 3
Total, Botosani, Anul 2002, Numar, 3
Total, Botosani, Anul 2003, Numar, 3
Total, Botosani, Anul 2004, Numar, 2
Total, Botosani, Anul 2005, Numar, 2
Total, Botosani, Anul 2006, Numar, 1
Total, Botosani, Anul 2007, Numar, 1
Total, Botosani, Anul 2008, Numar, 1
Total, Botosani, Anul 2009, Numar, 1
Total, Botosani, Anul 2010, Numar, 1
Total, Botosani, Anul 2011, Numar, 1
Total, Botosani, Anul 2012, Numar, 1
Total, Botosani, Anul 2013, Numar, 1
Total, Botosani, Anul 2014, Numar, 1
Total, Iasi, Anul 1990, Numar, 31
Total, Iasi, Anul 1991, Numar, 37
Total, Iasi, Anul 1992, Numar, 37
Total, Iasi, Anul 1993, Numar, 35
Total, Iasi, Anul 1994, Numar, 35
Total, Iasi, Anul 1995, Numar, 48
Total, Iasi, Anul 1996, Numar, 49
Total, Iasi, Anul 1997, Numar, 52
Total, Iasi, Anul 1998, Numar, 53
Total, Iasi, Anul 1999, Numar, 60
Total, Iasi, Anul 2000, Numar, 64
Total, Iasi, Anul 2001, Numar, 64
Total, Iasi, Anul 2002, Numar, 66
Total, Iasi, Anul 2003, Numar, 66
Total, Iasi, Anul 2004, Numar, 66
Total, Iasi, Anul 2005, Numar, 65
Total, Iasi, Anul 2006, Numar, 59
Total, Iasi, Anul 2007, Numar, 51
Total, Iasi, Anul 2008, Numar, 51
Total, Iasi, Anul 2009, Numar, 51
Total, Iasi, Anul 2010, Numar, 50
Total, Iasi, Anul 2011, Numar, 50
Total, Iasi, Anul 2012, Numar, 49
Total, Iasi, Anul 2013, Numar, 48
Total, Iasi, Anul 2014, Numar, 47
Total, Iasi, Anul 2015, Numar, 45
Total, Iasi, Anul 2016, Numar, 45
Total, Iasi, Anul 2017, Numar, 43
Total, Neamt, Anul 1998, Numar, 1
Total, Neamt, Anul 1999, Numar, 3
Total, Neamt, Anul 2000, Numar, 3
Total, Neamt, Anul 2001, Numar, 2
Total, Neamt, Anul 2002, Numar, 3
Total, Neamt, Anul 2003, Numar, 3
Total, Neamt, Anul 2004, Numar, 2
Total, Neamt, Anul 2005, Numar, 4
Total, Neamt, Anul 2006, Numar, 4
Total, Neamt, Anul 2007, Numar, 2
Total, Neamt, Anul 2008, Numar, 2
Total, Neamt, Anul 2009, Numar, 4
Total, Neamt, Anul 2010, Numar, 4
Total, Neamt, Anul 2011, Numar, 4
Total, Neamt, Anul 2012, Numar, 4
Total, Neamt, Anul 2013, Numar, 4
