Niveluri de instruire, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Total, Total, Botosani, Anul 2001, Numar, 758
Total, Total, Botosani, Anul 2002, Numar, 756
Total, Total, Botosani, Anul 2003, Numar, 587
Total, Total, Botosani, Anul 2004, Numar, 587
Total, Total, Botosani, Anul 2005, Numar, 271
Total, Total, Botosani, Anul 2006, Numar, 173
Total, Total, Botosani, Anul 2007, Numar, 168
Total, Total, Botosani, Anul 2008, Numar, 170
Total, Total, Botosani, Anul 2009, Numar, 147
Total, Total, Botosani, Anul 2010, Numar, 145
Total, Total, Botosani, Anul 2011, Numar, 127
Total, Total, Botosani, Anul 2012, Numar, 127
Total, Total, Botosani, Anul 2013, Numar, 129
Total, Total, Botosani, Anul 2014, Numar, 132
Total, Total, Botosani, Anul 2015, Numar, 132
Total, Total, Botosani, Anul 2016, Numar, 132
Total, Total, Botosani, Anul 2017, Numar, 132
Total, Total, Iasi, Anul 1996, Numar, 1078
Total, Total, Iasi, Anul 1997, Numar, 998
Total, Total, Iasi, Anul 1998, Numar, 1051
Total, Total, Iasi, Anul 1999, Numar, 1021
Total, Total, Iasi, Anul 2000, Numar, 1002
Total, Total, Iasi, Anul 2001, Numar, 1011
Total, Total, Iasi, Anul 2002, Numar, 1000
Total, Total, Iasi, Anul 2003, Numar, 997
Total, Total, Iasi, Anul 2004, Numar, 365
Total, Total, Iasi, Anul 2005, Numar, 362
Total, Total, Iasi, Anul 2006, Numar, 362
Total, Total, Iasi, Anul 2007, Numar, 362
Total, Total, Iasi, Anul 2008, Numar, 366
Total, Total, Iasi, Anul 2009, Numar, 353
Total, Total, Iasi, Anul 2010, Numar, 316
Total, Total, Iasi, Anul 2011, Numar, 292
Total, Total, Iasi, Anul 2012, Numar, 248
Total, Total, Iasi, Anul 2013, Numar, 266
Total, Total, Iasi, Anul 2014, Numar, 273
Total, Total, Iasi, Anul 2015, Numar, 269
Total, Total, Iasi, Anul 2016, Numar, 262
Total, Total, Iasi, Anul 2017, Numar, 264
Total, Total, Neamt, Anul 1996, Numar, 838
Total, Total, Neamt, Anul 1997, Numar, 755
Total, Total, Neamt, Anul 1998, Numar, 812
Total, Total, Neamt, Anul 1999, Numar, 773
Total, Total, Neamt, Anul 2000, Numar, 495
Total, Total, Neamt, Anul 2001, Numar, 481
Total, Total, Neamt, Anul 2002, Numar, 428
Total, Total, Neamt, Anul 2003, Numar, 249
Total, Total, Neamt, Anul 2004, Numar, 250
Total, Total, Neamt, Anul 2005, Numar, 231
Total, Total, Neamt, Anul 2006, Numar, 167
Total, Total, Neamt, Anul 2007, Numar, 164
Total, Total, Neamt, Anul 2008, Numar, 164
Total, Total, Neamt, Anul 2009, Numar, 179
Total, Total, Neamt, Anul 2010, Numar, 172
Total, Total, Neamt, Anul 2011, Numar, 157
Total, Total, Neamt, Anul 2012, Numar, 153
Total, Total, Neamt, Anul 2013, Numar, 149
Total, Total, Neamt, Anul 2014, Numar, 148
Total, Total, Neamt, Anul 2015, Numar, 147
Total, Total, Neamt, Anul 2016, Numar, 144
Total, Total, Neamt, Anul 2017, Numar, 138
Total, Total, Suceava, Anul 1996, Numar, 1044
Total, Total, Suceava, Anul 1997, Numar, 1047
Total, Total, Suceava, Anul 1998, Numar, 1054
Total, Total, Suceava, Anul 1999, Numar, 991
Total, Total, Suceava, Anul 2000, Numar, 490
Total, Total, Suceava, Anul 2001, Numar, 485
Total, Total, Suceava, Anul 2002, Numar, 491
Total, Total, Suceava, Anul 2003, Numar, 365
Total, Total, Suceava, Anul 2004, Numar, 365
Total, Total, Suceava, Anul 2005, Numar, 240
Total, Total, Suceava, Anul 2006, Numar, 232
Total, Total, Suceava, Anul 2007, Numar, 237
Total, Total, Suceava, Anul 2008, Numar, 236
