Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar de persoane condamnate definitiv la 100000 locuitori, Valoare
Iasi, Anul 1998, Numar, 481
Iasi, Anul 1999, Numar, 358
Iasi, Anul 2000, Numar, 394
Iasi, Anul 2001, Numar, 368
Iasi, Anul 2002, Numar, 311
Iasi, Anul 2003, Numar, 320
Iasi, Anul 2004, Numar, 365
Iasi, Anul 2005, Numar, 332
Iasi, Anul 2006, Numar, 257
Iasi, Anul 2007, Numar, 168
Iasi, Anul 2008, Numar, 141
Iasi, Anul 2009, Numar, 178
Iasi, Anul 2010, Numar, 206
Iasi, Anul 2011, Numar, 162
Iasi, Anul 2012, Numar, 187
Iasi, Anul 2013, Numar, 155
Iasi, Anul 2014, Numar, 133
Iasi, Anul 2015, Numar, 144
Iasi, Anul 2016, Numar, 78
Neamt, Anul 1990, Numar, 151
Neamt, Anul 1991, Numar, 268
Neamt, Anul 1992, Numar, 286
Neamt, Anul 1993, Numar, 368
Neamt, Anul 1994, Numar, 345
Neamt, Anul 1995, Numar, 357
Neamt, Anul 1996, Numar, 398
Neamt, Anul 1997, Numar, 385
Neamt, Anul 1998, Numar, 388
Neamt, Anul 1999, Numar, 330
Neamt, Anul 2000, Numar, 259
Neamt, Anul 2001, Numar, 294
Neamt, Anul 2002, Numar, 354
Neamt, Anul 2003, Numar, 331
Neamt, Anul 2004, Numar, 310
Neamt, Anul 2005, Numar, 330
Neamt, Anul 2006, Numar, 298
Neamt, Anul 2007, Numar, 279
Neamt, Anul 2008, Numar, 236
Neamt, Anul 2009, Numar, 193
Neamt, Anul 2010, Numar, 216
Neamt, Anul 2011, Numar, 162
Neamt, Anul 2012, Numar, 265
Neamt, Anul 2013, Numar, 263
Neamt, Anul 2014, Numar, 230
Neamt, Anul 2015, Numar, 214
Neamt, Anul 2016, Numar, 173
Suceava, Anul 1990, Numar, 172
Suceava, Anul 1991, Numar, 269
Suceava, Anul 1992, Numar, 275
Suceava, Anul 1993, Numar, 360
Suceava, Anul 1994, Numar, 338
Suceava, Anul 1995, Numar, 361
Suceava, Anul 1996, Numar, 476
Suceava, Anul 1997, Numar, 560
Suceava, Anul 1998, Numar, 644
Suceava, Anul 1999, Numar, 597
Suceava, Anul 2000, Numar, 462
Suceava, Anul 2001, Numar, 426
Suceava, Anul 2002, Numar, 495
Suceava, Anul 2003, Numar, 477
Suceava, Anul 2004, Numar, 422
Suceava, Anul 2005, Numar, 360
Suceava, Anul 2006, Numar, 299
Suceava, Anul 2007, Numar, 243
Suceava, Anul 2008, Numar, 171
Suceava, Anul 2009, Numar, 149
Suceava, Anul 2010, Numar, 159
Suceava, Anul 2011, Numar, 232
Suceava, Anul 2012, Numar, 204
Suceava, Anul 2013, Numar, 201
Suceava, Anul 2014, Numar, 175
Suceava, Anul 2015, Numar, 191
Suceava, Anul 2016, Numar, 166
Vaslui, Anul 1990, Numar, 155
Vaslui, Anul 1991, Numar, 346
Vaslui, Anul 1992, Numar, 334
Vaslui, Anul 1993, Numar, 428
Vaslui, Anul 1994, Numar, 508
Vaslui, Anul 1995, Numar, 533
Vaslui, Anul 1996, Numar, 604
Vaslui, Anul 1997, Numar, 529
Vaslui, Anul 1998, Numar, 565
Vaslui, Anul 1999, Numar, 479
Vaslui, Anul 2000, Numar, 536
Vaslui, Anul 2001, Numar, 567
Vaslui, Anul 2002, Numar, 547
Vaslui, Anul 2003, Numar, 463
Vaslui, Anul 2004, Numar, 446
Vaslui, Anul 2005, Numar, 421
Vaslui, Anul 2006, Numar, 476
Vaslui, Anul 2007, Numar, 406
Vaslui, Anul 2008, Numar, 265
Vaslui, Anul 2009, Numar, 233
Vaslui, Anul 2010, Numar, 284
Vaslui, Anul 2011, Numar, 257
Vaslui, Anul 2012, Numar, 354
Vaslui, Anul 2013, Numar, 350
Vaslui, Anul 2014, Numar, 303
Vaslui, Anul 2015, Numar, 186
Vaslui, Anul 2016, Numar, 176
