Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Valcea, Anul 2017, Numar persoane, 238176
Regiunea VEST, Anul 2008, Numar persoane, 1150892
Regiunea VEST, Anul 2009, Numar persoane, 1201032
Regiunea VEST, Anul 2010, Numar persoane, 1235234
Regiunea VEST, Anul 2011, Numar persoane, 1241830
Regiunea VEST, Anul 2012, Numar persoane, 1239821
Regiunea VEST, Anul 2013, Numar persoane, 1225910
Regiunea VEST, Anul 2014, Numar persoane, 1225840
Regiunea VEST, Anul 2015, Numar persoane, 1272610
Regiunea VEST, Anul 2016, Numar persoane, 1311424
Regiunea VEST, Anul 2017, Numar persoane, 1379953
Arad, Anul 2008, Numar persoane, 259692
Arad, Anul 2009, Numar persoane, 262568
Arad, Anul 2010, Numar persoane, 264406
Arad, Anul 2011, Numar persoane, 252721
Arad, Anul 2012, Numar persoane, 256339
Arad, Anul 2013, Numar persoane, 256258
Arad, Anul 2014, Numar persoane, 254065
Arad, Anul 2015, Numar persoane, 296427
Arad, Anul 2016, Numar persoane, 293664
Arad, Anul 2017, Numar persoane, 299405
Caras-Severin, Anul 2008, Numar persoane, 137156
Caras-Severin, Anul 2009, Numar persoane, 143741
Caras-Severin, Anul 2010, Numar persoane, 166548
Caras-Severin, Anul 2011, Numar persoane, 161178
Caras-Severin, Anul 2012, Numar persoane, 161463
Caras-Severin, Anul 2013, Numar persoane, 156940
Caras-Severin, Anul 2014, Numar persoane, 156541
Caras-Severin, Anul 2015, Numar persoane, 154960
Caras-Severin, Anul 2016, Numar persoane, 171914
Caras-Severin, Anul 2017, Numar persoane, 173670
Hunedoara, Anul 2008, Numar persoane, 302064
Hunedoara, Anul 2009, Numar persoane, 329931
